==AiData:256,5,DV=4,RV=1
2.8991,7.9754,3.1106,7.2883,2.9888
1.5084,3.0481,7.5317,1.8225,0.1062
1.8748,1.3714,4.8008,4.9106,0.1484
2.1366,0.1416,5.3367,0.4014,0.0232
4.0115,6.1268,5.3194,8.1203,1.0934
1.4078,4.5369,5.7466,0.804,0.2513
5.72,8.755,5.4652,1.7595,2.1006
9.3356,5.1246,2.0159,6.7514,14.7217
0.2676,5.7077,6.5127,9.4677,0.0509
4.3,2.4343,7.1315,0.8042,0.2602
8.3073,0.1438,4.6618,8.9564,0.0753
6.269,3.1617,8.5349,8.4243,0.348
1.9106,8.2445,3.3736,7.4971,1.739
4.4275,4.3857,9.5801,7.1189,0.2724
5.9151,7.8849,6.3986,5.4049,1.4246
1.2623,6.474,6.4648,3.108,0.2518
5.2141,6.5475,4.6672,7.1063,1.963
0.3189,9.5056,8.5248,3.7147,0.0581
0.4136,4.3536,5.1769,4.2345,0.0873
6.1845,4.7263,3.2283,0.9117,3.5144
5.1909,2.6322,2.7245,8.7174,2.3052
3.384,3.2299,10.5763,8.301,0.1286
9.8302,4.1577,3.8867,6.6506,3.3837
1.4351,6.8379,5.5294,3.389,0.4085
4.9142,8.6978,10.2095,1.4872,0.5153
6.9102,4.1709,7.1731,7.4521,0.7068
0.1363,2.4448,2.219,8.3713,0.0933
5.6288,6.28,10.214,9.7189,0.4247
3.7932,2.8812,10.7627,5.9013,0.1183
9.6775,4.0681,3.709,9.1209,3.5859
1.8484,7.2823,5.4396,7.8718,0.5729
0.4459,2.2031,4.282,8.6385,0.0672
9.6474,4.0046,4.6161,1.2228,2.268
0.9117,4.4279,2.1081,2.3892,1.138
7.5366,6.578,5.8682,8.1538,1.808
3.6173,1.2381,8.2678,7.222,0.0913
1.9242,2.0367,2.7722,5.7622,0.6394
5.7934,5.947,7.3165,6.7985,0.8125
8.8365,2.5106,1.9056,6.2589,7.6454
5.5134,7.3148,9.7092,0.0988,0.5388
5.9021,3.4846,5.8411,0.439,0.7565
3.2438,9.3125,10.6775,6.1038,0.3374
4.0554,8.9388,1.9546,7.245,11.8642
7.3051,9.3423,5.9222,5.2045,2.4404
0.2243,3.4372,6.13,8.603,0.0335
0.2035,8.4729,5.6611,3.7961,0.0701
9.969,9.7577,3.0762,1.8445,12.8497
1.1661,9.0939,7.8023,4.6598,0.2256
2.6064,8.4771,4.078,7.5837,1.6672
9.1246,9.9731,3.9159,0.2347,7.4261
3.9005,8.6713,6.7266,9.523,0.9406
5.4841,4.141,8.8686,1.8689,0.3678
1.0607,7.1801,2.6303,9.9373,1.3842
7.8943,4.4484,2.1116,3.7363,9.8505
4.6774,3.349,6.4173,1.1562,0.4841
0.5516,3.18,6.272,8.4333,0.0557
0.4833,7.4219,5.6462,4.86,0.1467
3.9093,8.8697,2.5413,0.4615,6.7178
3.5581,9.437,4.6435,8.0463,1.9525
2.7033,3.5948,2.9843,6.9734,1.3705
6.9449,2.2105,8.9334,2.7353,0.2467
6.5187,0.6345,2.9527,0.4449,0.599
8.7242,2.3905,8.9237,6.4934,0.3282
7.3698,3.5999,2.8881,8.4521,3.9825
4.5315,8.2613,5.0032,8.2854,1.87
4.5554,7.0981,3.5761,9.6106,3.1652
9.4295,7.598,9.2938,9.6436,1.0381
4.0156,3.8071,2.9853,5.0939,2.149
2.0765,4.037,5.1403,0.2949,0.399
8.1736,6.6368,1.8185,0.1189,20.5118
8.4024,1.7651,2.1006,0.8303,4.2108
8.4314,5.56,9.4444,2.4941,0.6574
9.6305,6.4674,4.8808,8.3749,3.275
6.7123,9.8393,7.5929,3.8856,1.4321
3.5929,1.0261,7.4378,5.1287,0.0846
0.3481,5.8794,6.7034,7.0103,0.0607
7.0102,8.071,1.4919,9.7378,31.7773
6.8022,1.9176,4.7506,6.6196,0.7266
2.8597,3.754,10.0682,8.3424,0.1356
6.8418,1.3645,1.3488,7.0318,6.4156
9.2714,8.6946,4.5474,1.4498,4.8793
7.4364,9.9336,6.586,2.2222,2.1312
7.6902,8.5357,6.1759,5.1399,2.156
4.499,5.8919,4.9885,9.2186,1.3385
6.4497,8.5917,3.1929,6.131,6.8001
1.2215,0.9325,5.8824,9.8904,0.0463
